qtl_type,tissue,signif_rows_PDE4B_anyvar,signif_rows_frozenvars_anygene,signif_rows_frozen_x_PDE4B
eQTL,Brain_Amygdala,0,0,0
eQTL,Brain_Anterior_cingulate_cortex_BA24,0,0,0
eQTL,Brain_Caudate_basal_ganglia,0,0,0
eQTL,Brain_Cerebellar_Hemisphere,0,0,0
eQTL,Brain_Cerebellum,0,0,0
eQTL,Brain_Cortex,0,0,0
eQTL,Brain_Frontal_Cortex_BA9,0,0,0
eQTL,Brain_Hippocampus,0,0,0
eQTL,Brain_Hypothalamus,0,0,0
eQTL,Brain_Nucleus_accumbens_basal_ganglia,0,0,0
eQTL,Brain_Putamen_basal_ganglia,0,0,0
eQTL,Brain_Spinal_cord_cervical_c-1,0,0,0
eQTL,Brain_Substantia_nigra,0,0,0
sQTL,Brain_Amygdala,0,0,0
sQTL,Brain_Anterior_cingulate_cortex_BA24,0,0,0
sQTL,Brain_Caudate_basal_ganglia,0,0,0
sQTL,Brain_Cerebellar_Hemisphere,0,0,0
sQTL,Brain_Cerebellum,0,0,0
sQTL,Brain_Cortex,0,0,0
sQTL,Brain_Frontal_Cortex_BA9,0,0,0
sQTL,Brain_Hippocampus,0,0,0
sQTL,Brain_Hypothalamus,0,0,0
sQTL,Brain_Nucleus_accumbens_basal_ganglia,0,0,0
sQTL,Brain_Putamen_basal_ganglia,0,0,0
sQTL,Brain_Spinal_cord_cervical_c-1,0,0,0
sQTL,Brain_Substantia_nigra,0,0,0
