id,cell_type,classification_system,pt_supervoxel_id,pt_root_id
44795,23P,excitatory_neuron,73613884698831796,864691135724233643
44796,23P,excitatory_neuron,73754828345558830,864691136436395166
50039,NGC,inhibitory_neuron,73613197571380105,864691135462260637
50080,23P,excitatory_neuron,73543309863605007,864691136723556861
50174,23P,excitatory_neuron,73755240729611855,864691135776658528
71263,23P,excitatory_neuron,73615052929975022,864691135941166708
76069,23P,excitatory_neuron,73404977556816286,864691135545065768
76075,23P,excitatory_neuron,73404771398156190,864691135479369926
90227,23P,excitatory_neuron,73548188879300688,864691135697633557
9867,astrocyte,nonneuron,75933716324660175,864691135937358133
9868,NGC,inhibitory_neuron,75934266147628505,864691135207734905
9869,23P,excitatory_neuron,75441272688753483,864691135758479438
9870,oligo,nonneuron,75511435207620939,864691136108718264
9871,astrocyte,nonneuron,76004085203266592,864691135875978579
10608,23P,excitatory_neuron,0,0
11225,23P,excitatory_neuron,74527166544801625,864691135947422049
11282,23P,excitatory_neuron,74737997899501359,864691135771677771
11686,astrocyte,nonneuron,75089429236446034,864691135686892768
11953,pericyte,nonneuron,75160416455820199,864691135575094302
12300,pericyte,nonneuron,75371385316322865,864691135686892768
12348,pericyte,nonneuron,75441891499592439,864691135686892768
12511,astrocyte,nonneuron,75933441849663555,864691135269700261
13723,astrocyte,nonneuron,74949379009927218,864691135730122425
13726,astrocyte,nonneuron,75019129346001007,864691135564638039
14815,astrocyte,nonneuron,74315304532063858,864691135358825816
15172,BPC,inhibitory_neuron,74878185766282790,864691135293134774
15346,pericyte,nonneuron,75370835694880191,864691135614113739
15358,NGC,inhibitory_neuron,75653066585695788,864691136143741847
15363,astrocyte,nonneuron,75723023013367167,864691135771679307
15675,23P,excitatory_neuron,75936258811178983,864691136237656636
15676,23P,excitatory_neuron,0,0
15677,23P,excitatory_neuron,75865340378584941,864691136601922769
15678,astrocyte,nonneuron,75935571683552670,864691136118746904
15679,23P,excitatory_neuron,75583865535801239,864691135785825732
15680,23P,excitatory_neuron,75724877835151139,864691135864089470
15681,23P,excitatory_neuron,75795590176519004,864691135560505569
15682,23P,excitatory_neuron,75796002493439420,864691136315868311
15683,23P,excitatory_neuron,75865477884709586,864691136324529047
15684,23P,excitatory_neuron,75865821481865944,864691135462278045
15685,23P,excitatory_neuron,75935434378786899,864691136292100759
15686,23P,excitatory_neuron,76006077933770632,864691135945519140
15687,astrocyte,nonneuron,76005322086705186,864691135396390945
15706,23P,excitatory_neuron,0,0
15707,astrocyte,nonneuron,75724122055025994,864691135012371702
15708,23P,excitatory_neuron,75795590310659216,864691135274095077
15709,23P,excitatory_neuron,75865615457696609,864691136143282839
15710,23P,excitatory_neuron,75936533890667986,864691135589949195
15711,23P,excitatory_neuron,75935778043274363,864691135876009555
15712,23P,excitatory_neuron,75936602676945506,864691136123769638
16777,23P,excitatory_neuron,75936465372229554,864691136237494332
16791,23P,excitatory_neuron,75935778110561369,864691135294000908
18644,23P,excitatory_neuron,75724878170740946,864691135614145483
18647,23P,excitatory_neuron,75725359207132888,864691135581600621
18664,23P,excitatory_neuron,75865821750429529,864691135945493796
18727,23P,excitatory_neuron,73894878639188374,864691135162232877
19041,23P,excitatory_neuron,74036578200457059,864691135403774702
19158,23P,excitatory_neuron,74317297262903018,864691135135408153
19198,23P,excitatory_neuron,74598428641966481,864691135502726837
19207,23P,excitatory_neuron,74598978398008914,864691135468118156
19217,23P,excitatory_neuron,74669759458972485,864691135575854622
19223,BC,inhibitory_neuron,74880590813632595,864691136371144072
19254,23P,excitatory_neuron,74950959490720274,864691134988461178
19327,astrocyte,nonneuron,75021053356982376,864691136521606801
19372,astrocyte,nonneuron,75091147290401636,864691135782395187
19377,23P,excitatory_neuron,75232022217493683,864691136227702865
19460,MC,inhibitory_neuron,75373378114366340,864691135274096613
19543,astrocyte,nonneuron,75372003724843073,864691135476117416
19575,23P,excitatory_neuron,75373446900797235,864691136118899736
19649,23P,excitatory_neuron,75654097176701869,864691135474708288
19651,23P,excitatory_neuron,75654646932510613,864691135969795429
19652,23P,excitatory_neuron,75654303335005963,864691135730185913
19654,astrocyte,nonneuron,75724603426727382,864691136521606801
19655,BC,inhibitory_neuron,75725359274203194,864691136263951588
19658,23P,excitatory_neuron,75795178329670765,864691135581598829
19680,23P,excitatory_neuron,73965384889540220,864691136056380376
19685,23P,excitatory_neuron,73966209523102632,864691136311813693
19702,astrocyte,nonneuron,74247753219707620,864691135777217120
19704,23P,excitatory_neuron,74246722427259838,864691135134698777
19707,23P,excitatory_neuron,74246997305468007,864691135594005035
19708,NGC,inhibitory_neuron,74247821938993718,864691136324728215
19709,23P,excitatory_neuron,74246722494222596,864691136723566333
19716,microglia,nonneuron,74246859866088812,864691135777460669
19729,23P,excitatory_neuron,74599459501389500,864691135564685911
19731,23P,excitatory_neuron,74598978464840984,864691135468385618
19735,23P,excitatory_neuron,74668934892392251,864691135761535798
19750,23P,excitatory_neuron,74880384722328976,864691135385179733
19754,astrocyte,nonneuron,74809191344659004,864691135758560334
19761,23P,excitatory_neuron,74951028344326507,864691135771640315
19765,23P,excitatory_neuron,75092178149609965,864691135208201081
19771,23P,excitatory_neuron,75091491021760364,864691135754624461
19774,23P,excitatory_neuron,75302391028733877,864691136926252362
19779,23P,excitatory_neuron,75372965931549854,864691135118847709
19785,23P,excitatory_neuron,75372278803662287,864691135345607583
19798,23P,excitatory_neuron,75655196822791059,864691135134701337
19805,23P,excitatory_neuron,75724328616339450,864691136451401727
19810,23P,excitatory_neuron,75795521993890700,864691135474688832
19812,23P,excitatory_neuron,75864722573976289,864691135953781512
19817,23P,excitatory_neuron,75865959390655607,864691136123786022
19850,23P,excitatory_neuron,73824303871049521,864691135865111516
19856,BPC,inhibitory_neuron,73965591114949573,864691135536515177
19876,NGC,inhibitory_neuron,73964835200876873,864691135785809860
20052,23P,excitatory_neuron,74388559494391990,864691135700202786
20179,astrocyte,nonneuron,74739441142852776,864691136084079724
20180,23P,excitatory_neuron,74950616094704588,864691136123767846
20252,23P,excitatory_neuron,75092315655692721,864691136227921745
20258,23P,excitatory_neuron,75162340802338851,864691135815973967
20315,23P,excitatory_neuron,75301978779317564,864691135354947279
20373,23P,excitatory_neuron,75513840926214010,864691136118882840
20381,23P,excitatory_neuron,75514390681929346,864691136108742584
20421,BC,inhibitory_neuron,75653753780799189,864691136143273367
20465,23P,excitatory_neuron,75724466122138377,864691134988453242
20506,23P,excitatory_neuron,75934816440661487,864691135951978787
21455,23P,excitatory_neuron,75867264456673176,864691136807843556
21459,BPC,inhibitory_neuron,76007245963877481,864691136811907300
21588,23P,excitatory_neuron,0,0
21592,23P,excitatory_neuron,75656433303083173,864691135783403116
21593,23P,excitatory_neuron,75867951785436430,864691136273016254
21594,23P,excitatory_neuron,75938870285447317,864691135909049513
21770,23P,excitatory_neuron,76008345877663066,864691135429211833
22748,astrocyte,nonneuron,75797033553819455,864691136050810867
24440,23P,excitatory_neuron,75866852609755155,864691136922759652
24443,NGC,inhibitory_neuron,75866508945249813,864691135737953905
24445,astrocyte,nonneuron,75867883401824566,864691135864671708
24458,23P,excitatory_neuron,76008758329081755,864691136418786199
24459,BPC,inhibitory_neuron,75937564950919125,864691135310113781
24471,23P,excitatory_neuron,76008895767829465,864691135349217495
24529,23P,excitatory_neuron,74037059236601599,864691135538106482
24542,23P,excitatory_neuron,74108871089971722,864691136806915300
24552,23P,excitatory_neuron,74248371627570500,864691135467557260
24559,23P,excitatory_neuron,74318946530121609,864691135571273253
24584,23P,excitatory_neuron,74460577371845601,864691136390424703
24683,23P,excitatory_neuron,74740746678252731,864691135851384519
24688,astrocyte,nonneuron,74741914909402559,864691136672679815
24770,23P,excitatory_neuron,74883408312045306,864691135939392513
24849,astrocyte,nonneuron,75022084149109999,864691135915182438
