pre,post,n
864691136421359255,864691135118559453,1
864691136741360476,864691135123188007,1
864691135866751196,864691135122836263,1
864691136524134033,864691135123358503,1
864691135497904147,864691135123726119,6
864691135526909787,864691135132937120,2
864691135810666525,864691135123045927,1
864691135911793065,864691135124538151,1
864691136137514109,864691135117818077,2
864691134964418079,864691135123951655,2
864691136379518421,864691135123276583,3
864691135660487664,864691135118674397,4
864691135618461289,864691135118831325,2
864691135778568800,864691135123276583,1
864691135661494768,864691135122330407,1
864691135886293872,864691135118899421,2
864691134990596474,864691135118128861,1
864691135281089441,864691135132937888,1
864691136009448364,864691135118631389,1
864691136673719431,864691135119891165,2
864691136267726068,864691135122318119,1
864691135569225196,864691135118741725,1
864691135510858738,864691135118658269,1
864691135339088102,864691135123726119,2
864691135639906875,864691135123276583,3
864691135106716493,864691135118831325,2
864691135409554121,864691135118527709,3
864691135892278665,864691135124690471,15
864691135276259301,864691135123276583,1
864691135082891255,864691135119866845,1
864691135715256980,864691135118527709,1
864691135754555085,864691135122346023,1
864691135013293558,864691135119120349,1
864691135544923432,864691135117818077,1
864691135281027233,864691135119120349,1
864691135501869122,864691135118756573,1
864691136436957854,864691135118559453,1
864691135123951655,864691135123951655,11
864691135539797618,864691135123285031,1
864691135214260280,864691135118527709,1
864691136110703288,864691135114679705,1
864691135739248772,864691135119991261,1
864691136673719431,864691135122346023,1
864691135492224351,864691135123072295,1
864691136813865843,864691135122942503,1
864691135408210889,864691135122836263,1
864691135374471624,864691135123276583,1
864691134948390652,864691135118527709,1
864691135474609984,864691135122836263,2
864691136137401483,864691135118831325,8
864691135948840033,864691135122318119,2
864691135470246738,864691135119270109,3
864691136086239084,864691135123162407,4
864691136905941426,864691135124538151,9
864691136086239084,864691135118527709,12
864691136118919076,864691135119630813,1
864691135738387076,864691135119891165,1
864691135662000112,864691135123285031,1
864691135867635222,864691135122836263,1
864691136392806271,864691135124401191,4
864691135135506201,864691135119891165,2
864691135866403606,864691135123276583,1
864691135538114034,864691135123276583,1
864691135875989134,864691135123508775,1
864691135662588656,864691135123358503,1
864691136053537779,864691135118571997,1
864691136145417012,864691135115122585,1
864691135687788000,864691135124538151,1
864691136743352412,864691135115122585,7
864691135339826150,864691135114679705,3
864691136418786455,864691135117836509,1
864691135463128477,864691135123021095,1
864691136240071996,864691135124690471,14
864691135848858206,864691135117808349,1
864691135359670104,864691135118706909,1
864691135577681694,864691135122731815,1
864691136578531092,864691135118559453,1
864691135995493546,864691135118565085,5
864691135969706597,864691135123205671,1
