pre_pt_root_id,post_pt_root_id,n
864691134884807418,864691136724121853,1
864691134885129210,864691136740924764,1
864691134885129210,864691136742047324,1
864691134885150458,864691136725356541,1
864691134885222906,864691136724121853,1
864691134885481722,864691136740924764,1
864691134885504250,864691136741182812,1
864691134885557498,864691136741532764,1
864691134885578234,864691136724575741,1
864691134885631738,864691136741182812,1
864691134885713914,864691136724121853,1
864691134885753082,864691136725391357,1
864691134885783034,864691136742047324,1
864691134885800186,864691136743364188,1
864691134886037498,864691136724360957,2
864691134886037498,864691136740460636,3
864691134886037498,864691136740924764,1
864691134886037498,864691136743424348,1
864691134886037498,864691136758676598,1
864691134886054650,864691136732833902,1
864691134886295802,864691136724334845,2
864691134886400250,864691136724327165,1
864691134886434298,864691136725868541,1
864691134886503674,864691136725356541,1
864691134887173882,864691136732833902,2
864691134887175418,864691136725868541,1
864691134887236346,864691136725878269,1
864691134887247610,864691136725356541,1
864691134887247610,864691136725773053,1
864691134887260410,864691136732833902,2
864691134887273978,864691136740835932,2
864691134887499514,864691136741497180,1
864691134887540986,864691136725773053,3
864691134887540986,864691136740406108,1
864691134887540986,864691136741182812,2
864691134917395722,864691136740562012,1
864691134917425674,864691136724441085,1
864691134917434122,864691136741465692,1
864691134917642250,864691136740433756,2
864691134917642250,864691136755312238,2
864691134917669642,864691136725356541,1
864691134917901322,864691136724121853,1
864691134917923338,864691136741444444,1
864691134918200586,864691136741465692,1
864691134918200586,864691136758865774,1
864691134918272266,864691136724121853,1
864691134918290698,864691136741530460,3
864691134918318602,864691136743169372,1
864691134918396938,864691136741497180,1
864691134918413066,864691136724121853,1
864691134918413066,864691136743364188,1
864691134918614794,864691136724121853,1
864691134918614794,864691136740924764,1
864691134918746634,864691136740924764,1
864691134918947338,864691136724382973,1
864691134919529994,864691136743364188,2
864691134919570698,864691136725889277,1
864691134919748362,864691136725356541,1
864691134919748362,864691136725391357,1
864691134919748362,864691136725773053,1
864691134919748362,864691136740406108,1
864691134919748362,864691136742438492,1
864691134919748362,864691136742921308,3
864691134919931146,864691136742921308,1
864691134920072202,864691136743424348,2
864691134920082954,864691136740402524,1
864691134939972195,864691136724575741,1
864691134939981667,864691136742071900,2
864691134939998307,864691136723596797,1
864691134939998563,864691136741221468,2
864691134939998563,864691136743402862,1
864691134940002147,864691136741476444,1
864691134940004451,864691136740841564,1
864691134940007779,864691136741465692,1
864691134940025955,864691136724121853,3
864691134940025955,864691136724687613,1
864691134940025955,864691136736141422,1
864691134940025955,864691136740460636,1
864691134940025955,864691136741533532,1
864691134940025955,864691136742047324,3
864691134940246115,864691136742047324,1
864691134940379491,864691136725391357,1
864691134940724835,864691136758865774,1
864691134940805475,864691136741465692,1
864691134940933475,864691136724153853,5
864691134940933475,864691136740460636,3
864691134940933475,864691136740841564,2
864691134940960867,864691136724630269,1
864691134940964963,864691136740924764,1
864691134940965219,864691136732973422,1
864691134940965219,864691136742047324,1
864691134940967267,864691136724121853,1
864691134940967267,864691136742047324,1
864691134941328739,864691136724542973,1
864691134941346403,864691136724023037,4
864691134941750883,864691136741465692,2
864691134941906787,864691136743169372,1
864691134942221411,864691136740924764,1
864691134942250339,864691136724382973,2
864691134942250339,864691136725134589,1
864691134942250339,864691136741839452,1
864691134942315107,864691136742921308,1
864691134942498147,864691136743147612,1
864691134942498147,864691136743296484,1
864691134942610787,864691136741774684,1
864691134942667875,864691136725773053,1
864691134947398140,864691136741476444,1
864691134947428092,864691136743296484,1
864691134947438844,864691136724121853,1
864691134947449852,864691136723596797,1
864691134947632380,864691136742438492,1
864691134947843068,864691136725773053,2
864691134947861500,864691136724624125,3
864691134947861500,864691136741497692,1
864691134947906044,864691136740924764,1
864691134948255996,864691136724687613,1
864691134948345084,864691136724687613,2
864691134948429052,864691136724687613,1
864691134948429052,864691136742047324,3
864691134948511740,864691136740460636,1
864691134948605180,864691136724121853,2
864691134948605180,864691136740924764,2
864691134949346044,864691136740798556,1
864691134949368316,864691136725391357,2
864691134949568764,864691136732833902,1
864691134949599996,864691136741530460,1
864691134949774844,864691136740460636,1
864691134950149116,864691136740891740,2
864691134950149116,864691136741444444,5
864691134950149116,864691136742438492,2
864691134950228988,864691136724511485,1
864691134950228988,864691136732263542,2
864691134950228988,864691136740835932,2
864691134950228988,864691136740888156,2
864691134950228988,864691136741531228,3
864691134950228988,864691136742071900,3
864691134950228988,864691136743424348,1
864691134950261500,864691136725889277,1
864691134950338556,864691136741182812,1
864691134950395132,864691136741774684,1
864691134964410911,864691136758865774,1
864691134964418079,864691136725391357,1
864691134964420383,864691136741756252,1
864691134964437279,864691136743364188,2
864691134964447007,864691136743070062,1
864691134964800799,864691136741182812,1
864691134964802335,864691136741465692,1
864691134965268511,864691136723596797,4
864691134965306655,864691136741500252,1
864691134965345055,864691136741532764,1
864691134965414943,864691136724542973,1
864691134965414943,864691136741221468,1
864691134965421343,864691136724360957,1
864691134965425951,864691136724630269,1
864691134965447967,864691136742438492,1
864691134965602079,864691136724575741,2
864691134965612575,864691136741323612,1
864691134965718303,864691136724360957,1
864691134965718303,864691136724880893,2
864691134965718303,864691136740924764,6
864691134965725727,864691136724153853,1
864691134966187807,864691136732833902,1
864691134966290975,864691136725391357,1
864691134966290975,864691136725773053,1
864691134966306591,864691136724153853,1
864691134966306591,864691136724687613,1
864691134966306591,864691136740460636,1
864691134966306591,864691136740924764,4
864691134966306847,864691136724687613,1
864691134966306847,864691136724880893,2
864691134966306847,864691136740841564,4
864691134966403615,864691136742921308,1
864691134966510623,864691136740562012,1
864691134966510623,864691136740886108,1
